# Created: Fri Aug 01 15:29:56 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.08
#	output:	results/terasort/values-0.08.csv
#	metrics-output:	results/terasort/metrics-0.08.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
x2	x3	x1	objective	MLPerceptron	IsoRegression	BagClassify	GaussianCurves	Discretization	RandomSubSpaces	LeastSquares	RBF	LinearRegression	
2.0	40.0	9.0	115.4700	136.2763	308.6440	286.0894	183.8989	203.2570	194.5269	123.0238	116.7346	245.0922	
2.0	50.0	9.0	130.9600	178.2900	308.6440	286.0894	209.2429	203.2570	194.5269	137.2017	116.6399	297.3862	
4.0	10.0	9.0	47.7800	37.0921	97.8700	141.6697	91.2214	203.2570	177.6978	50.3437	119.3712	88.2102	
4.0	20.0	9.0	54.1300	42.9385	97.8700	141.6697	92.7369	203.2570	177.6978	64.5216	117.6321	140.5042	
4.0	30.0	9.0	72.4400	51.6685	97.8700	286.0894	105.7031	203.2570	194.5269	78.6995	116.6014	192.7982	
4.0	40.0	9.0	76.0600	64.5411	308.6440	286.0894	125.9326	203.2570	194.5269	92.8774	116.0879	245.0922	
4.0	50.0	9.0	92.1400	83.2051	308.6440	286.0894	147.9909	203.2570	194.5269	107.0553	116.0009	297.3862	
1.0	10.0	10.0	87.0600	101.2550	97.8700	146.9284	138.2538	203.2570	177.6978	92.0368	117.5099	88.2102	
1.0	20.0	10.0	119.9100	131.6389	97.8700	146.9284	154.8132	203.2570	177.6978	106.2147	116.0738	140.5042	
1.0	30.0	10.0	149.9200	169.4925	97.8700	286.0894	180.8239	203.2570	194.5269	120.3926	115.2249	192.7982	
1.0	40.0	10.0	193.0000	213.7241	308.6440	286.0894	208.6772	203.2570	194.5269	134.5705	114.8026	245.0922	
1.0	50.0	10.0	291.0800	262.4258	308.6440	286.0894	230.3689	203.2570	194.5269	148.7484	114.7310	297.3862	
2.0	10.0	10.0	57.0400	70.1044	97.8700	146.9284	111.0185	203.2570	177.6978	76.9636	116.2155	88.2102	
2.0	20.0	10.0	81.5700	90.2420	97.8700	146.9284	121.5319	203.2570	177.6978	91.1415	114.9932	140.5042	
2.0	30.0	10.0	95.5100	117.4281	97.8700	286.0894	143.0679	203.2570	194.5269	105.3194	114.2718	192.7982	
2.0	40.0	10.0	146.6100	152.3578	308.6440	286.0894	169.1263	203.2570	194.5269	119.4973	113.9134	245.0922	
2.0	50.0	10.0	215.5800	194.7349	308.6440	286.0894	192.4118	203.2570	194.5269	133.6752	113.8527	297.3862	
4.0	10.0	10.0	52.0700	39.6878	97.8700	141.6697	92.9668	203.2570	177.6978	46.8172	115.6112	88.2102	
4.0	20.0	10.0	59.8200	46.7613	97.8700	141.6697	91.5468	203.2570	177.6978	60.9951	114.4894	140.5042	
4.0	30.0	10.0	80.2200	57.1790	97.8700	286.0894	100.8690	203.2570	194.5269	75.1730	113.8280	192.7982	
4.0	40.0	10.0	86.3700	72.2258	308.6440	286.0894	117.7737	203.2570	194.5269	89.3509	113.4995	245.0922	
4.0	50.0	10.0	93.5400	93.3783	308.6440	286.0894	137.8186	203.2570	194.5269	103.5288	113.4439	297.3862	


# Created: Fri Aug 01 15:29:57 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.08
#	output:	results/terasort/values-0.08.csv
#	metrics-output:	results/terasort/metrics-0.08.csv
#
# Points picked
# 	(2.0, 30.0, 4.0)
# 	(2.0, 40.0, 2.0)
# 	(1.0, 50.0, 4.0)
# 	(2.0, 40.0, 4.0)
# 	(2.0, 20.0, 7.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 30.0, 8.0)
# 	(1.0, 20.0, 4.0)
# 	(2.0, 20.0, 2.0)
# 	(2.0, 20.0, 3.0)
x2	x3	x1	objective	MLPerceptron	IsoRegression	BagClassify	GaussianCurves	Discretization	RandomSubSpaces	LeastSquares	RBF	LinearRegression	
1.0	10.0	2.0	197.7700	210.3198	143.8150	205.9810	180.1966	169.7175	187.5630	147.4840	190.1525	73.2122	
1.0	20.0	2.0	378.2800	211.1675	143.8150	205.9810	193.1063	169.7175	187.5630	214.2492	190.1826	132.4053	
1.0	30.0	2.0	439.7700	289.6586	143.8150	205.9810	224.2444	169.7175	187.5630	281.0144	190.2961	191.5984	
1.0	40.0	2.0	646.0500	423.2306	253.0100	262.6234	262.2901	295.3567	232.2795	347.7796	190.8170	250.7915	
1.0	50.0	2.0	644.2200	421.6970	332.7300	262.6234	287.3057	295.3567	232.2795	414.5448	193.7121	309.9846	
2.0	10.0	2.0	122.2600	211.2052	143.8150	187.0692	170.9921	169.7175	187.5630	125.0891	190.1385	73.2122	
2.0	20.0	2.0	193.7800	205.7654	143.8150	187.0692	179.7099	169.7175	187.5630	191.8543	190.1459	132.4053	
2.0	30.0	2.0	256.8900	210.8653	143.8150	187.0692	207.8546	169.7175	187.5630	258.6195	190.1739	191.5984	
2.0	40.0	2.0	323.5800	327.2170	253.0100	243.7116	245.2559	295.3567	232.2795	325.3847	190.3028	250.7915	
2.0	50.0	2.0	407.8700	417.2265	332.7300	243.7116	272.1798	295.3567	232.2795	392.1499	191.0349	309.9846	
4.0	10.0	2.0	72.2300	213.0919	143.8150	187.0692	170.1566	169.7175	187.5630	80.2995	190.1344	73.2122	
4.0	20.0	2.0	116.1100	209.0830	143.8150	187.0692	167.8995	169.7175	187.5630	147.0647	190.1352	132.4053	
4.0	30.0	2.0	168.4500	200.0196	143.8150	187.0692	178.7298	169.7175	187.5630	213.8299	190.1383	191.5984	
4.0	40.0	2.0	237.2300	187.1743	253.0100	243.7116	199.0463	295.3567	232.2795	280.5951	190.1523	250.7915	
4.0	50.0	2.0	362.6600	230.6863	332.7300	243.7116	217.9241	295.3567	232.2795	347.3603	190.2327	309.9846	
1.0	10.0	3.0	121.6500	203.3299	143.8150	205.9810	173.4288	169.7175	187.5630	126.8245	190.1677	73.2122	
1.0	20.0	3.0	219.5600	193.0660	143.8150	205.9810	185.5629	169.7175	187.5630	193.5897	190.2225	132.4053	
1.0	30.0	3.0	290.4400	235.3704	143.8150	205.9810	218.1723	169.7175	187.5630	260.3549	190.4288	191.5984	
1.0	40.0	3.0	379.0900	380.7465	253.0100	262.6234	259.5170	295.3567	232.2795	327.1201	191.3720	250.7915	
1.0	50.0	3.0	485.7900	401.6140	332.7300	262.6234	287.9798	295.3567	232.2795	393.8853	196.4921	309.9846	
2.0	10.0	3.0	112.3200	205.9460	143.8150	187.0692	162.4508	169.7175	187.5630	104.4297	190.1422	73.2122	
2.0	20.0	3.0	170.8600	193.6220	143.8150	187.0692	169.6753	169.7175	187.5630	171.1949	190.1558	132.4053	
2.0	30.0	3.0	220.8800	182.1301	143.8150	187.0692	198.8707	169.7175	187.5630	237.9601	190.2066	191.5984	
2.0	40.0	3.0	234.0400	264.3263	253.0100	243.7116	239.6338	295.3567	232.2795	304.7253	190.4410	250.7915	
2.0	50.0	3.0	282.4400	386.8706	332.7300	243.7116	270.5091	295.3567	232.2795	371.4905	191.7644	309.9846	
4.0	10.0	3.0	66.5100	210.0166	143.8150	187.0692	162.5582	169.7175	187.5630	59.6400	190.1348	73.2122	
4.0	20.0	3.0	86.0800	201.7699	143.8150	187.0692	158.2827	169.7175	187.5630	126.4052	190.1363	132.4053	
4.0	30.0	3.0	116.7500	184.7228	143.8150	187.0692	169.0382	169.7175	187.5630	193.1704	190.1419	191.5984	
4.0	40.0	3.0	157.9000	160.6037	253.0100	243.7116	191.4096	295.3567	232.2795	259.9356	190.1675	250.7915	
4.0	50.0	3.0	182.7200	179.8857	332.7300	243.7116	213.3943	295.3567	232.2795	326.7008	190.3137	309.9846	
1.0	10.0	4.0	105.3100	190.4902	143.8150	205.9810	167.0585	169.7175	187.5630	106.1650	190.2036	73.2122	
1.0	20.0	4.0	172.0700	168.7047	143.8150	205.9810	178.0909	169.7175	187.5630	172.9302	190.3169	132.4053	
