# Created: Fri Aug 01 15:30:26 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.19
#	output:	results/terasort/values-0.19.csv
#	metrics-output:	results/terasort/metrics-0.19.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 50.0, 9.0)
# 	(2.0, 50.0, 8.0)
# 	(2.0, 50.0, 9.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
1.0	20.0	10.0	119.9100	104.4643	137.8581	168.4822	121.9410	107.9391	167.4771	153.6551	127.6544	59.0731	
1.0	30.0	10.0	149.9200	104.4643	156.7007	168.4822	121.9410	108.0130	167.4771	170.0254	151.2650	93.6222	
1.0	40.0	10.0	193.0000	104.4643	177.5059	214.3936	121.9410	191.3160	167.4771	206.1492	174.8756	134.2938	
1.0	50.0	10.0	291.0800	104.4643	194.2565	214.3936	121.9410	203.8625	167.4771	206.1492	198.4861	177.6026	
2.0	10.0	10.0	57.0400	104.4643	99.4622	137.2599	121.9410	107.9391	167.4771	153.6551	67.9673	7.1216	
2.0	20.0	10.0	81.5700	104.4643	102.6238	137.2599	121.9410	107.9391	167.4771	153.6551	91.5779	24.4135	
2.0	30.0	10.0	95.5100	104.4643	114.1776	137.2599	121.9410	108.0559	167.4771	170.0254	115.1885	48.6420	
2.0	40.0	10.0	146.6100	104.4643	130.5152	172.4245	121.9410	195.5485	167.4771	184.2306	138.7991	80.5711	
2.0	50.0	10.0	215.5800	104.4643	147.1604	172.4245	121.9410	203.8930	167.4771	184.2306	162.4097	119.4199	
4.0	10.0	10.0	52.0700	104.4643	84.7708	115.8955	121.9410	107.9391	83.2414	128.7655	-4.1856	-16.3277	
4.0	20.0	10.0	59.8200	104.4643	78.1592	115.8955	121.9410	107.9391	83.2414	128.7655	19.4250	-10.5582	
4.0	30.0	10.0	80.2200	104.4643	79.4041	115.8955	121.9410	108.0747	83.2414	128.7655	43.0356	-1.7132	
4.0	40.0	10.0	86.3700	104.4643	87.6726	140.8149	121.9410	196.6282	83.2414	153.6472	66.6462	11.5415	
4.0	50.0	10.0	93.5400	104.4643	101.0401	140.8149	121.9410	203.9003	83.2414	153.6472	90.2567	30.7428	


# Created: Fri Aug 01 15:30:27 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.19
#	output:	results/terasort/values-0.19.csv
#	metrics-output:	results/terasort/metrics-0.19.csv
#
# Points picked
# 	(4.0, 10.0, 8.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 20.0, 3.0)
# 	(2.0, 40.0, 4.0)
# 	(4.0, 20.0, 8.0)
# 	(4.0, 50.0, 3.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 20.0, 5.0)
# 	(1.0, 40.0, 3.0)
# 	(4.0, 10.0, 5.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 40.0, 9.0)
# 	(1.0, 30.0, 3.0)
# 	(2.0, 40.0, 6.0)
# 	(2.0, 40.0, 5.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 40.0, 5.0)
# 	(1.0, 10.0, 3.0)
# 	(4.0, 50.0, 4.0)
# 	(1.0, 30.0, 7.0)
# 	(4.0, 30.0, 3.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 6.0)
# 	(1.0, 30.0, 8.0)
# 	(1.0, 10.0, 2.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
1.0	10.0	2.0	197.7700	97.9602	176.5885	175.6895	280.2150	201.7699	198.4286	188.8494	145.7483	212.6959	
1.0	20.0	2.0	378.2800	126.0198	203.4802	175.6895	280.2150	203.0219	198.4286	223.5290	168.3944	318.8664	
1.0	30.0	2.0	439.7700	154.0794	232.0888	185.1618	280.2150	203.6008	198.4286	223.5290	191.0405	441.3753	
1.0	40.0	2.0	646.0500	182.1390	253.6741	216.9955	280.2150	203.7532	198.4286	234.1889	213.6865	558.2404	
1.0	50.0	2.0	644.2200	210.1986	261.6669	220.9911	280.2150	203.5403	198.4286	234.1889	236.3326	651.9485	
2.0	10.0	2.0	122.2600	97.9602	149.7157	165.4190	280.2150	186.7317	198.4286	188.8494	124.2479	142.4186	
2.0	20.0	2.0	193.7800	126.0198	173.8344	165.4190	280.2150	191.2018	198.4286	223.5290	146.8940	223.5844	
2.0	30.0	2.0	256.8900	154.0794	203.5447	167.3580	280.2150	193.4377	198.4286	223.5290	169.5401	332.4768	
2.0	40.0	2.0	323.5800	182.1390	230.0507	177.2749	280.2150	194.0457	198.4286	234.1889	192.1862	455.5903	
2.0	50.0	2.0	407.8700	210.1986	245.3126	181.2705	280.2150	193.1988	198.4286	234.1889	214.8323	570.6258	
4.0	10.0	2.0	72.2300	97.9602	110.5313	108.1123	280.2150	124.1404	90.8544	112.9489	81.2472	62.8429	
4.0	20.0	2.0	116.1100	126.0198	125.4674	108.1123	280.2150	124.1405	90.8544	129.2339	103.8933	99.4737	
4.0	30.0	2.0	168.4500	154.0794	151.5692	118.7616	280.2150	124.1405	90.8544	132.2973	126.5394	158.6662	
4.0	40.0	2.0	237.2300	182.1390	181.6674	128.6785	280.2150	124.1406	90.8544	160.9920	149.1855	246.4792	
4.0	50.0	2.0	362.6600	210.1986	206.6121	188.9738	280.2150	124.1405	279.6900	178.7258	171.8316	360.2893	
