# Created: Fri Aug 01 15:30:17 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.16
#	output:	results/terasort/values-0.16.csv
#	metrics-output:	results/terasort/metrics-0.16.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
4.0	20.0	6.0	75.5600	128.6252	86.8834	157.0575	164.6750	197.7102	137.2514	122.1168	60.4430	0.6771	
4.0	30.0	6.0	95.8300	128.6252	100.1344	157.0575	164.6750	200.9224	137.2514	140.8137	85.6241	13.8274	
4.0	40.0	6.0	101.3000	128.6252	120.6941	176.4348	164.6750	203.5981	137.2514	161.9140	110.8051	37.9514	
4.0	50.0	6.0	143.5000	128.6252	142.8174	176.4348	164.6750	205.7798	137.2514	161.9140	135.9861	79.0790	
1.0	10.0	7.0	80.2900	266.6473	145.8452	180.6162	164.6750	137.3786	182.7742	188.7557	136.8735	18.1211	
1.0	20.0	7.0	122.0600	266.6473	168.8110	180.6162	164.6750	138.0906	182.7742	188.7557	162.0545	45.9568	
1.0	30.0	7.0	152.8100	266.6473	201.2166	180.6162	164.6750	138.8144	182.7742	196.3590	187.2356	92.0260	
1.0	40.0	7.0	193.4800	266.6473	234.0017	206.8664	164.6750	139.5252	182.7742	231.9095	212.4166	157.8761	
1.0	50.0	7.0	250.6200	266.6473	257.3305	206.8664	164.6750	140.1963	182.7742	231.9095	237.5977	234.7138	
2.0	10.0	7.0	64.4800	220.6399	112.3806	180.6162	164.6750	139.2293	182.7742	151.7694	99.4818	5.5687	
2.0	20.0	7.0	88.3300	220.6399	126.5857	180.6162	164.6750	140.2251	182.7742	151.7694	124.6628	23.3303	
2.0	30.0	7.0	112.3300	220.6399	151.8458	180.6162	164.6750	141.2308	182.7742	159.3726	149.8439	54.9761	
2.0	40.0	7.0	129.3400	220.6399	180.9118	206.8664	164.6750	142.2122	182.7742	201.5615	175.0249	105.8652	
2.0	50.0	7.0	151.7200	220.6399	205.2860	206.8664	164.6750	143.1331	182.7742	201.5615	200.2060	175.5720	
4.0	10.0	7.0	52.9000	128.6252	81.1313	152.8995	164.6750	141.0138	137.2514	112.0635	24.6984	-6.7600	
4.0	20.0	7.0	63.4200	128.6252	79.9478	152.8995	164.6750	142.2703	137.2514	113.8705	49.8795	-0.1275	
4.0	30.0	7.0	76.1400	128.6252	89.7450	152.8995	164.6750	143.5317	137.2514	132.5674	75.0605	12.6252	
4.0	40.0	7.0	92.0200	128.6252	107.3818	172.2767	164.6750	144.7550	137.2514	157.8310	100.2415	36.1540	
4.0	50.0	7.0	126.5500	128.6252	128.0473	172.2767	164.6750	145.8963	137.2514	157.8310	125.4226	76.3722	
1.0	10.0	8.0	84.5100	266.6473	137.5238	180.6162	122.7600	133.3290	182.7742	188.7557	126.3100	17.9051	
1.0	20.0	8.0	107.5200	266.6473	156.7519	180.6162	122.7600	133.3723	182.7742	188.7557	151.4910	45.6567	
1.0	30.0	8.0	142.7300	266.6473	185.4205	180.6162	122.7600	133.4171	182.7742	196.3590	176.6720	91.5788	
1.0	40.0	8.0	178.7000	266.6473	215.4496	206.8664	122.7600	133.4616	182.7742	231.9095	201.8531	157.1263	
1.0	50.0	8.0	236.4800	266.6473	237.9052	206.8664	122.7600	133.5043	182.7742	231.9095	227.0341	233.3677	
2.0	10.0	8.0	56.4400	220.6399	106.0370	180.6162	122.7600	133.4430	182.7742	151.7694	88.9183	5.3682	
2.0	20.0	8.0	73.5000	220.6399	116.7301	180.6162	122.7600	133.5061	182.7742	151.7694	114.0993	23.0503	
2.0	30.0	8.0	92.7600	220.6399	138.2923	180.6162	122.7600	133.5712	182.7742	159.3726	139.2803	54.5778	
2.0	40.0	8.0	114.5700	220.6399	164.4490	206.8664	122.7600	133.6359	182.7742	197.1160	164.4614	105.2569	
2.0	50.0	8.0	136.9900	220.6399	187.6432	206.8664	122.7600	133.6979	182.7742	197.1160	189.6424	174.5490	
4.0	10.0	8.0	51.7300	128.6252	80.1534	147.6217	122.7600	133.5570	81.7583	112.0635	14.1349	-6.9170	
4.0	20.0	8.0	60.3200	128.6252	76.5971	147.6217	122.7600	133.6398	81.7583	113.8705	39.3159	-0.3546	
4.0	30.0	8.0	90.0200	128.6252	83.4860	147.6217	122.7600	133.7251	81.7583	132.5674	64.4970	12.3001	
4.0	40.0	8.0	96.5300	128.6252	98.4559	166.9990	122.7600	133.8100	81.7583	153.3855	89.6780	35.6877	
4.0	50.0	8.0	105.4300	128.6252	117.5352	166.9990	122.7600	133.8912	81.7583	153.3855	114.8590	75.6832	
1.0	10.0	9.0	84.2700	266.6473	131.8713	180.6162	122.7600	133.0933	182.7742	184.8983	115.7464	17.9161	
1.0	20.0	9.0	121.5000	266.6473	147.8802	180.6162	122.7600	133.0957	182.7742	184.8983	140.9274	45.7016	
1.0	30.0	9.0	150.8700	266.6473	173.1673	180.6162	122.7600	133.0982	182.7742	192.5016	166.1085	91.6555	
1.0	40.0	9.0	158.6200	266.6473	200.5481	206.8664	122.7600	133.1007	182.7742	228.0522	191.2895	157.1714	
1.0	50.0	9.0	218.6400	266.6473	221.9410	206.8664	122.7600	133.1031	182.7742	228.0522	216.4706	233.2275	
2.0	10.0	9.0	58.9600	220.6399	102.8905	180.6162	122.7600	133.0997	182.7742	147.9120	78.3547	5.3533	
2.0	20.0	9.0	74.2100	220.6399	110.8110	180.6162	122.7600	133.1032	182.7742	147.9120	103.5358	23.0525	
2.0	30.0	9.0	94.0700	220.6399	129.2468	180.6162	122.7600	133.1069	182.7742	155.5152	128.7168	54.6082	
2.0	40.0	9.0	115.4700	220.6399	152.7566	206.8664	122.7600	133.1105	182.7742	193.2587	153.8978	105.2994	
2.0	50.0	9.0	130.9600	220.6399	174.6235	206.8664	122.7600	133.1140	182.7742	193.2587	179.0789	174.5134	
4.0	10.0	9.0	47.7800	128.6252	82.0978	147.6217	122.7600	133.1061	81.7583	100.7418	3.5713	-6.9501	
4.0	20.0	9.0	54.1300	128.6252	76.9576	147.6217	122.7600	133.1107	81.7583	102.5488	28.7524	-0.3930	
4.0	30.0	9.0	72.4400	128.6252	81.6003	147.6217	122.7600	133.1155	81.7583	115.2811	53.9334	12.2617	
4.0	40.0	9.0	76.0600	128.6252	94.2716	166.9990	122.7600	133.1203	81.7583	136.0991	79.1144	35.6573	
4.0	50.0	9.0	92.1400	128.6252	111.7072	166.9990	122.7600	133.1249	81.7583	136.0991	104.2955	75.6561	
1.0	10.0	10.0	87.0600	266.6473	129.0915	180.6162	122.7600	133.0801	182.7742	184.8983	105.1829	18.0013	
1.0	20.0	10.0	119.9100	266.6473	142.4565	180.6162	122.7600	133.0803	182.7742	184.8983	130.3639	45.8594	
1.0	30.0	10.0	149.9200	266.6473	164.7682	180.6162	122.7600	133.0804	182.7742	192.5016	155.5449	91.9036	
1.0	40.0	10.0	193.0000	266.6473	189.6406	206.8664	122.7600	133.0806	182.7742	228.0522	180.7260	157.4765	
1.0	50.0	10.0	291.0800	266.6473	209.7831	206.8664	122.7600	133.0807	182.7742	228.0522	205.9070	233.4814	
2.0	10.0	10.0	57.0400	220.6399	102.9912	180.6162	122.7600	133.0805	182.7742	147.9120	67.7912	5.3990	
2.0	20.0	10.0	81.5700	220.6399	108.8973	180.6162	122.7600	133.0807	182.7742	147.9120	92.9722	23.1470	
2.0	30.0	10.0	95.5100	220.6399	124.8007	180.6162	122.7600	133.0809	182.7742	155.5152	118.1532	54.7788	
