nodes	cores	mem	size	time
14	2	8192	5	59
14	2	8192	10	64
14	2	8192	15	27
14	2	8192	20	122
14	2	8192	25	149
14	2	8192	30	180
14	2	8192	35	201
14	2	8192	40	217
14	2	8192	45	248
14	2	8192	50	275
14	2	6144	5	53
14	2	6144	10	25
14	2	6144	15	2
14	2	6144	20	125
14	2	6144	25	158
14	2	6144	30	194
14	2	6144	35	211
14	2	6144	40	232
14	2	6144	45	267
14	2	6144	50	300
14	2	4096	5	59
14	2	4096	10	26
14	2	4096	15	22
14	2	4096	20	152
14	2	4096	25	190
14	2	4096	30	228
14	2	4096	35	265
14	2	4096	40	296
14	2	4096	45	327
14	2	4096	50	367
14	2	2048	5	70
14	2	2048	10	137
14	2	2048	15	177
14	2	2048	20	248
14	2	2048	25	327
14	2	2048	30	385
14	2	2048	35	461
14	2	2048	40	516
14	2	2048	45	578
14	2	2048	50	649
12	8	8192	5	57
12	8	8192	10	74
12	8	8192	15	103
12	8	8192	20	121
12	8	8192	25	155
12	8	8192	30	171
12	8	8192	35	215
12	8	8192	40	231
12	8	8192	45	261
12	8	8192	50	281
12	8	6144	5	56
12	8	6144	10	87
12	8	6144	15	110
12	8	6144	20	140
12	8	6144	25	162
12	8	6144	30	187
12	8	6144	35	232
12	8	6144	40	250
12	8	6144	45	279
12	8	6144	50	303
12	8	4096	5	51
12	8	4096	10	93
12	8	4096	15	123
12	8	4096	20	161
12	8	4096	25	190
12	8	4096	30	228
12	8	4096	35	245
12	8	4096	40	281
12	8	4096	45	307
12	8	4096	50	350
12	8	2048	5	74
12	8	2048	10	145
12	8	2048	15	202
12	8	2048	20	255
12	8	2048	25	321
12	8	2048	30	377
12	8	2048	35	447
12	8	2048	40	511
12	8	2048	45	581
12	8	2048	50	640
12	6	8192	5	60
12	6	8192	10	73
12	6	8192	15	97
12	6	8192	20	122
12	6	8192	25	151
12	6	8192	30	172
12	6	8192	35	199
12	6	8192	40	228
12	6	8192	45	252
12	6	8192	50	295
12	6	6144	5	49
12	6	6144	10	87
12	6	6144	15	111
12	6	6144	20	128
12	6	6144	25	165
12	6	6144	30	191
12	6	6144	35	214
12	6	6144	40	247
12	6	6144	45	275
12	6	6144	50	301
12	6	4096	5	48
12	6	4096	10	97
12	6	4096	15	117
12	6	4096	20	160
12	6	4096	25	189
12	6	4096	30	222
12	6	4096	35	247
12	6	4096	40	292
12	6	4096	45	314
12	6	4096	50	353
12	6	2048	5	76
12	6	2048	10	139
12	6	2048	15	192
12	6	2048	20	261
12	6	2048	25	328
12	6	2048	30	384
12	6	2048	35	442
12	6	2048	40	509
12	6	2048	45	579
12	6	2048	50	629
12	4	8192	5	59
12	4	8192	10	77
12	4	8192	15	105
12	4	8192	20	127
12	4	8192	25	155
12	4	8192	30	173
12	4	8192	35	216
12	4	8192	40	247
12	4	8192	45	255
12	4	8192	50	273
12	4	6144	5	52
12	4	6144	10	85
12	4	6144	15	102
12	4	6144	20	139
12	4	6144	25	158
12	4	6144	30	182
12	4	6144	35	223
12	4	6144	40	244
12	4	6144	45	261
12	4	6144	50	297
12	4	4096	5	51
12	4	4096	10	101
12	4	4096	15	118
12	4	4096	20	156
12	4	4096	25	188
12	4	4096	30	226
12	4	4096	35	256
12	4	4096	40	283
12	4	4096	45	322
12	4	4096	50	350
12	4	2048	5	74
12	4	2048	10	139
