nodes	cores	mem	size	class	time
16	2	6144	2000000	150	172
16	2	6144	2000000	200	173
16	2	6144	2500000	50	183
16	2	6144	2500000	100	199
16	2	6144	2500000	150	195
16	2	6144	2500000	200	193
16	2	4096	500000	50	82
16	2	4096	500000	100	86
16	2	4096	500000	150	85
16	2	4096	500000	200	87
16	2	4096	1000000	50	117
16	2	4096	1000000	100	115
16	2	4096	1000000	150	114
16	2	4096	1000000	200	113
16	2	4096	1500000	50	138
16	2	4096	1500000	100	138
16	2	4096	1500000	150	143
16	2	4096	1500000	200	136
16	2	4096	2000000	50	236
16	2	4096	2000000	100	219
16	2	4096	2000000	150	228
16	2	4096	2000000	200	227
16	2	4096	2500000	50	293
16	2	4096	2500000	100	298
16	2	4096	2500000	150	288
16	2	4096	2500000	200	291
16	2	2048	500000	50	94
16	2	2048	500000	100	98
16	2	2048	500000	150	99
16	2	2048	500000	200	95
16	2	2048	1000000	50	140
16	2	2048	1000000	100	135
16	2	2048	1000000	150	136
16	2	2048	1000000	200	156
16	2	2048	1500000	50	324
16	2	2048	1500000	100	334
16	2	2048	1500000	150	347
16	2	2048	1500000	200	323
16	2	2048	2000000	50	518
16	2	2048	2000000	100	530
16	2	2048	2000000	150	526
16	2	2048	2000000	200	516
16	2	2048	2500000	50	569
16	2	2048	2500000	100	581
16	2	2048	2500000	150	596
16	2	2048	2500000	200	607
12	8	8192	500000	50	90
12	8	8192	500000	100	90
12	8	8192	500000	150	92
12	8	8192	500000	200	90
12	8	8192	1000000	50	124
12	8	8192	1000000	100	115
12	8	8192	1000000	150	120
12	8	8192	1000000	200	131
12	8	8192	1500000	50	143
12	8	8192	1500000	100	132
12	8	8192	1500000	150	134
12	8	8192	1500000	200	133
12	8	8192	2000000	50	172
12	8	8192	2000000	100	172
12	8	8192	2000000	150	164
12	8	8192	2000000	200	167
12	8	8192	2500000	50	189
12	8	8192	2500000	100	194
12	8	8192	2500000	150	205
12	8	8192	2500000	200	201
12	8	6144	500000	50	93
12	8	6144	500000	100	94
12	8	6144	500000	150	90
12	8	6144	500000	200	86
12	8	6144	1000000	50	110
12	8	6144	1000000	100	119
12	8	6144	1000000	150	119
12	8	6144	1000000	200	120
12	8	6144	1500000	50	150
12	8	6144	1500000	100	137
12	8	6144	1500000	150	129
12	8	6144	1500000	200	142
12	8	6144	2000000	50	167
12	8	6144	2000000	100	172
12	8	6144	2000000	150	171
12	8	6144	2000000	200	171
12	8	6144	2500000	50	201
12	8	6144	2500000	100	218
12	8	6144	2500000	150	219
12	8	6144	2500000	200	194
12	8	4096	500000	50	90
12	8	4096	500000	100	93
12	8	4096	500000	150	86
12	8	4096	500000	200	101
12	8	4096	1000000	50	121
12	8	4096	1000000	100	121
12	8	4096	1000000	150	117
12	8	4096	1000000	200	117
12	8	4096	1500000	50	188
12	8	4096	1500000	100	197
12	8	4096	1500000	150	189
12	8	4096	1500000	200	201
12	8	4096	2000000	50	329
12	8	4096	2000000	100	320
12	8	4096	2000000	150	309
12	8	4096	2000000	200	305
12	8	4096	2500000	50	399
12	8	4096	2500000	100	396
12	8	4096	2500000	150	405
12	8	4096	2500000	200	396
12	8	2048	500000	50	113
12	8	2048	500000	100	113
12	8	2048	500000	150	109
12	8	2048	500000	200	104
12	8	2048	1000000	50	303
12	8	2048	1000000	100	299
12	8	2048	1000000	150	293
12	8	2048	1000000	200	287
12	8	2048	1500000	50	470
12	8	2048	1500000	100	478
12	8	2048	1500000	150	473
12	8	2048	1500000	200	465
12	8	2048	2000000	50	677
12	8	2048	2000000	100	699
12	8	2048	2000000	150	688
12	8	2048	2000000	200	680
12	8	2048	2500000	50	812
12	8	2048	2500000	100	803
12	8	2048	2500000	150	855
12	8	2048	2500000	200	810
12	6	8192	500000	50	93
12	6	8192	500000	100	85
12	6	8192	500000	150	85
