# Created: Fri Aug 01 15:38:45 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.05
#	output:	results/pagerank/values-0.05.csv
#	metrics-output:	results/pagerank/metrics-0.05.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 10.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
1.0	70.0	6.0	137.2200	174.2275	155.6801	139.1183	174.2275	125.2038	219.1100	156.6635	150.4782	145.4230	
1.0	80.0	6.0	160.9800	174.2275	167.5059	150.5542	174.2275	139.2762	219.1100	165.6649	155.7417	163.6323	
1.0	90.0	6.0	173.8500	174.2275	177.0176	150.5542	174.2275	151.7987	219.1100	165.6649	161.0052	186.9842	
1.0	100.0	6.0	192.6700	174.2275	182.3442	150.5542	174.2275	160.8300	219.1100	165.6649	166.2687	214.8750	
2.0	50.0	6.0	96.7900	146.2358	120.1961	139.1183	174.2275	103.6500	90.2525	156.6635	118.9987	102.3712	
2.0	60.0	6.0	106.1100	146.2358	128.1607	139.1183	174.2275	112.6813	90.2525	156.6635	124.2622	107.9973	
2.0	70.0	6.0	102.9600	146.2358	138.5353	139.1183	174.2275	125.2038	90.2525	156.6635	129.5257	115.4558	
2.0	80.0	6.0	107.9900	146.2358	149.5024	150.5542	174.2275	139.2762	90.2525	165.6649	134.7892	125.5842	
2.0	90.0	6.0	116.1100	146.2358	158.9386	150.5542	174.2275	151.7987	90.2525	165.6649	140.0527	139.4004	
2.0	100.0	6.0	114.3800	146.2358	165.0760	150.5542	174.2275	160.8300	90.2525	165.6649	145.3162	157.8896	
4.0	50.0	6.0	68.6800	90.2525	95.2488	113.9258	90.2525	103.6500	90.2525	115.1150	77.0938	77.1288	
4.0	60.0	6.0	74.4500	90.2525	96.4551	113.9258	90.2525	112.6813	90.2525	115.1150	82.3573	79.2832	
4.0	70.0	6.0	71.7600	90.2525	100.1785	113.9258	90.2525	125.2038	90.2525	115.1150	87.6208	81.8643	
4.0	80.0	6.0	77.1100	90.2525	105.5956	125.3618	90.2525	139.2762	90.2525	124.1164	92.8843	85.0538	
4.0	90.0	6.0	82.5700	90.2525	111.6576	125.3618	90.2525	151.7987	90.2525	124.1164	98.1478	89.1327	
4.0	100.0	6.0	85.5400	90.2525	117.4170	125.3618	90.2525	160.8300	90.2525	124.1164	103.4113	94.5260	
1.0	50.0	7.0	117.9300	174.2275	129.6985	139.1183	174.2275	103.6500	129.3450	156.6635	136.9184	116.7186	
1.0	60.0	7.0	117.2900	174.2275	138.3776	139.1183	174.2275	112.6813	219.1100	156.6635	142.1819	125.1267	
1.0	70.0	7.0	138.5100	174.2275	149.0354	139.1183	174.2275	125.2038	219.1100	156.6635	147.4454	136.6207	
1.0	80.0	7.0	135.8200	174.2275	159.8559	150.5542	174.2275	139.2762	219.1100	165.6649	152.7089	152.2492	
1.0	90.0	7.0	149.7100	174.2275	168.7445	150.5542	174.2275	151.7987	219.1100	165.6649	157.9724	172.8498	
